Section,Beam Mark,Fck,Width_mm,Depth_mm,Moment_kNm,Req_BotBar_Area_mm2
4,2B43-S2-L,25,125,450,11.0,78.0
5,2B43-S2-R,25,125,450,11.0,78.0
1,2B45-S1-L,25,125,450,50.0,278.0
2,2B45-S1-M,25,125,450,58.0,328.0
3,2B45-S1-R,25,125,450,30.0,161.0
4,2B45-S2-L,25,125,450,35.0,191.0
5,2B45-S2-M,25,125,450,63.0,363.0
6,2B45-S2-R,25,125,450,38.0,208.0
7,2B45-S3-L,25,125,450,38.0,208.0
8,2B45-S3-M,25,125,450,60.0,343.0
9,2B45-S3-R,25,125,450,38.0,208.0
10,2B45-S4-L,25,125,450,38.0,208.0
11,2B45-S4-M,25,125,450,64.0,369.0
12,2B45-S4-R,25,125,450,41.0,226.0
13,2B45-S5,25,125,450,18.0,96.0
1,2B46-S1-L,25,125,450,58.0,330.0
2,2B46-S1-M,25,125,450,70.0,424.0
3,2B46-S1-R,25,125,450,44.0,244.0
4,2B46-S2-L,25,125,450,9.0,79.0
5,2B46-S2-R,25,125,450,9.0,79.0
1,2B47-S1-L,25,125,600,65.0,259.0
2,2B47-S1-M,25,125,600,97.0,420.0
3,2B47-S1-R,25,125,600,55.0,217.0
4,2B47-S2-L,25,125,450,43.0,238.0
5,2B47-S2-M,25,125,450,61.0,350.0
6,2B47-S2-R,25,125,450,42.0,232.0
7,2B47-S3-L,25,125,450,49.0,274.0
8,2B47-S3-M,25,125,450,85.0,516.0
9,2B47-S3-R,25,125,450,58.0,330.0
10,2B47-S4-L,25,125,450,65.0,376.0
11,2B47-S4-M,25,125,450,88.0,538.0
12,2B47-S4-R,25,125,450,65.0,376.0
13,2B47-S5-L,25,125,450,64.0,369.0
14,2B47-S5-M,25,125,450,85.0,516.0
15,2B47-S5-R,25,125,450,71.0,416.0
19,2B47-S7-L,25,125,450,27.0,145.0
20,2B47-S7-M,25,125,450,47.0,260.0
21,2B47-S7-R,25,125,450,32.0,172.0
22,2B47-S8-L,25,125,450,67.0,387.0
24,2B47-S8-R,25,125,450,68.0,393.0
1,2B48-S1-L,25,125,450,62.0,356.0
2,2B48-S1-M,25,125,450,84.0,553.0
3,2B48-S1-R,25,125,450,50.0,280.0
4,2B48-S2-L,25,125,450,50.0,280.0
5,2B48-S2-M,25,125,450,71.0,449.0
6,2B48-S2-R,25,125,450,45.0,250.0
7,2B48-S3-L,25,125,450,45.0,250.0
8,2B48-S3-M,25,125,450,67.0,389.0
9,2B48-S3-R,25,125,450,37.0,202.0
10,2B48-S4-L,25,125,450,38.0,208.0
11,2B48-S4-M,25,125,450,65.0,389.0
12,2B48-S4-R,25,125,450,42.0,232.0
13,2B48-S5-L,25,125,450,64.0,369.0
14,2B48-S5-M,25,125,450,85.0,516.0
15,2B48-S5-R,25,125,450,71.0,416.0
16,2B48-S6-L,25,125,450,80.0,479.0
17,2B48-S6-M,25,125,450,120.0,834.0
18,2B48-S6-R,25,125,450,72.0,423.0
19,2B48-S7-L,25,125,450,27.0,146.0
20,2B48-S7-M,25,125,450,47.0,262.0
